symbol,name,sector,analyst_conviction_score,analyst_avg_score,analyst_report_count,analyst_broker_diversity,analyst_target_revision_pct,analyst_latest_title,composite_score,factor_rank_score,analyst_rank_score,flow_state_score,flow_rank_score,card_score
081660,미스토홀딩스,Unknown,8.3,7.4,2,1,0.0,"미스토홀딩스(081660) 4Q25 Review : 턴어라운드 본격화 전망되나, K패션은 기다림이 필요",,,1.0,,,1.0
393890,더블유씨피,Unknown,7.0,6.3,1,1,0.0,"실적, 밸류에이션 정상화 초입 구간",,,0.9880952380952381,,,0.9880952380952381
004170,신세계,Unknown,6.9,6.2,1,1,0.0,인바운드 증가 모멘텀은 2Q에 더 강화될 전망,,,0.9761904761904762,,,0.976190476190476
017960,한국카본,Unknown,6.5,5.8,1,1,0.0,LNG 보냉제 성장에 방산까지 영역 확대,,,0.9642857142857143,,,0.9642857142857142
083500,에프엔에스테크,Unknown,6.35,5.45,2,1,0.0,에프엔에스테크(083500) 수익성 개선 흐름 본격화될 전망,,,0.9523809523809523,,,0.9523809523809523
032500,케이엠더블유,Unknown,5.9,5.2,1,1,0.0,실적 확인하고 매수하시면 늦습니다,,,0.9404761904761905,,,0.9404761904761905
000150,두산,Unknown,5.6,4.9,1,1,0.0,서버 구조의 변화는 중장기 성장의 근거,,,0.9226190476190477,,,0.9226190476190477
200710,에이디테크놀로지,Unknown,5.6,4.9,1,1,0.0,콥데이 후기: 전성기를 넘어보자,,,0.9226190476190477,,,0.9226190476190477
011070,LG이노텍,Unknown,5.5,4.1,2,2,0.0,안 살 이유가 없다,,,0.9047619047619048,,,0.9047619047619048
010950,S-Oil,Unknown,5.2,3.8,2,2,0.0,"호르무즈 봉쇄, 오히려 전화위복!",,,0.875,,,0.8750000000000001
023530,롯데쇼핑,Unknown,5.2,4.5,1,1,0.0,백화점에서 확산되는 온기(溫氣),,,0.875,,,0.8750000000000001
034730,SK,Unknown,5.2,4.5,1,1,0.0,자사주 소각에 따른 재무적 효과 결국 주가에..,,,0.875,,,0.8750000000000001
047050,포스코인터내셔널,Unknown,5.2,3.1,3,3,0.0,"단단한 펀더멘털, 축소될 밸류에이션 갭",,,0.875,,,0.8750000000000001
365340,성일하이텍,Unknown,5.1,4.2,2,1,0.0,성일하이텍(365340) 콥데이 後記: 본격적인 실적 턴러어라운드 시작,,,0.8452380952380952,,,0.8452380952380952
010060,OCI홀딩스,Unknown,4.9,4.2,1,1,0.0,태양광 중심으로 재편되는 에너지 안보 패러..,,,0.8333333333333334,,,0.8333333333333334
005930,삼성전자,Unknown,4.7667,2.6667,3,3,0.0,진정한 풀스택,,,0.8214285714285714,,,0.8214285714285714
271560,오리온,Unknown,4.55,2.25,4,3,0.0,"춘절 끝, 이제는 앞만 보고 달린다",,,0.8095238095238095,,,0.8095238095238095
352820,하이브,Unknown,4.5,2.7,4,2,0.0,하이브(352820) 확신의 실적 모멘텀이 시작된다,,,0.7976190476190477,,,0.7976190476190477
039030,이오테크닉스,Unknown,4.4,3.5,2,1,0.0,이오테크닉스(039030) NAND 고단화 수혜 예상,,,0.7857142857142857,,,0.7857142857142857
122870,와이지엔터테인먼트,Unknown,4.325,2.525,4,2,0.0,와이지엔터테인먼트(122870) 모멘텀 플레이 가능 구간,,,0.7738095238095238,,,0.7738095238095238
036570,엔씨소프트,Unknown,4.3,2.7,3,2,0.0,엔씨소프트(036570) 실적은 센티를 이긴다,,,0.7559523809523809,,,0.7559523809523809
043370,피에이치에이,Unknown,4.3,3.6,1,1,0.0,자기주식 7.0% 보유 중,,,0.7559523809523809,,,0.7559523809523809
064760,티씨케이,Unknown,4.2,3.5,1,1,0.0,1Q26 예상 영업이익 QoQ +53.0%,,,0.7321428571428571,,,0.7321428571428571
327260,RF머트리얼즈,Unknown,4.2,3.5,1,1,0.0,광모듈 수요가 끝이 없다,,,0.7321428571428571,,,0.7321428571428571
001040,CJ,Unknown,4.1,2.5,3,2,0.0,푸드빌 호실적. 올리브영 가치도 multiple에 ..,,,0.7142857142857143,,,0.7142857142857143
035900,JYP Ent.,Unknown,4.025,2.225,4,2,0.0,JYP Ent.(035900) 육각형 포트폴리오를 향해,,,0.7023809523809523,,,0.7023809523809523
005440,현대지에프홀딩스,Unknown,4.0,3.3,1,1,0.0,조정이 주는 멋진 기회!,,,0.6785714285714286,,,0.6785714285714286
006400,삼성SDI,Unknown,4.0,3.3,1,1,0.0,26년 영업 흑자 전환 예상,,,0.6785714285714286,,,0.6785714285714286
