symbol,name,sector,composite_score,value_score,momentum_score,quality_score,flow_score,news_score,analyst_conviction_score,analyst_avg_score,analyst_report_count,analyst_broker_diversity,analyst_target_revision_pct,analyst_novelty_score,analyst_fwd_ret_5d,analyst_fwd_ret_20d,analyst_bias_adjustment,analyst_latest_title,flow_top_brokers,flow_event_mix,flow_intraday_samples,flow_intraday_avg_5m,flow_intraday_avg_15m,flow_intraday_avg_30m,flow_intraday_avg_60m,flow_intraday_last_event,flow_intraday_last_captured_at,factor_rank_score,analyst_rank_score,flow_state_score,flow_rank_score,flow_intraday_edge_score,flow_intraday_rank_score,active_source_count,card_score
005930,삼성전자,IT하드웨어 (반도체),0.5576000000000001,0.5,0.68,0.6,0.5,0.4000000000000001,3.5659,1.4659,3.0,3.0,0.0,0.7944,8.6649,0.0,1.026,진정한 풀스택,,,0,,,,,,,0.6,0.8333333333333334,,,,,2,0.6558333333333334
000660,SK하이닉스,IT하드웨어 (반도체),0.5856000000000001,0.5,0.8800000000000001,0.3999999999999999,0.5,0.4000000000000001,1.8432,0.4432,2.0,2.0,0.0,0.7979,0.0,0.0,0.8306,HBM 전선 이상 무,,,0,,,,,,,0.8,0.4166666666666667,,,,,2,0.6386309523809524
005380,현대차,자동차/완성차,0.5032,0.5,0.36,0.4666666666666666,0.5,0.4000000000000001,2.5525,1.6525,2.0,1.0,0.0,0.7737,0.0,0.0,0.6294,현대차(005380) 팰리세이드 리콜 관련 업데이트,,,0,,,,,,,0.4,0.6428571428571429,,,,,2,0.4887244897959184
373220,LG에너지솔루션,2차전지/배터리,0.4794666666666667,0.5,0.24,0.6666666666666666,0.5,0.8666666666666667,1.8427,1.1427,1.0,1.0,0.0,0.8,0.0,0.0,1.0318,26년 ESS 추정치 추가 상향 조정,,,0,,,,,,,0.2,0.40476190476190477,,,,,2,0.30715986394557826
402340,SK스퀘어,복합기업,0.6141333333333332,0.5,0.8399999999999999,0.5333333333333333,0.5,0.9333333333333332,,,,,,,,,,,,,0,,,,,,,1.0,,,,,,1,0.8875
081660,미스토홀딩스,의류/섬유,,,,,,,6.8513,5.9513,2.0,1.0,0.0,0.7806,0.0,0.0,0.5984,"미스토홀딩스(081660) 4Q25 Review : 턴어라운드 본격화 전망되나, K패션은 기다림이 필요",,,0,,,,,,,,1.0,,,,,1,0.8875
004170,신세계,유통/백화점,,,,,,,5.365,4.665,1.0,1.0,0.0,0.8,0.0,0.0,0.9176,인바운드 증가 모멘텀은 2Q에 더 강화될 전망,,,0,,,,,,,,0.9880952380952381,,,,,1,0.8773809523809524
393890,더블유씨피,전기제품,,,,,,,5.3525,4.6525,1.0,1.0,0.0,0.8,0.0,0.0,1.0318,"실적, 밸류에이션 정상화 초입 구간",,,0,,,,,,,,0.9761904761904762,,,,,1,0.8672619047619047
017960,한국카본,조선,,,,,,,4.9877,4.2877,1.0,1.0,0.0,0.8,0.0,0.0,0.9476,LNG 보냉제 성장에 방산까지 영역 확대,,,0,,,,,,,,0.9642857142857143,,,,,1,0.8571428571428571
083500,에프엔에스테크,디스플레이장비및부품,,,,,,,4.622,3.722,2.0,1.0,0.0,0.7631,0.0,0.0,1.15,에프엔에스테크(083500) 수익성 개선 흐름 본격화될 전망,,,0,,,,,,,,0.9523809523809523,,,,,1,0.8470238095238094
011070,LG이노텍,디스플레이/IT부품,,,,,,,4.4287,3.0287,2.0,2.0,0.0,0.7961,0.0,0.0,0.6774,안 살 이유가 없다,,,0,,,,,,,,0.9404761904761905,,,,,1,0.8369047619047618
200710,에이디테크놀로지,반도체와반도체장비,,,,,,,4.198,3.498,1.0,1.0,0.0,0.8,0.0,0.0,0.9476,콥데이 후기: 전성기를 넘어보자,,,0,,,,,,,,0.9285714285714286,,,,,1,0.8267857142857142
365340,성일하이텍,전기제품,,,,,,,4.129,3.229,2.0,1.0,0.0,0.7931,0.0,0.0,0.5429,성일하이텍(365340) 콥데이 後記: 본격적인 실적 턴러어라운드 시작,,,0,,,,,,,,0.9166666666666666,,,,,1,0.8166666666666665
032500,케이엠더블유,통신장비/네트워크,,,,,,,4.0496,3.3496,1.0,1.0,0.0,0.8,0.0,0.0,1.4167,실적 확인하고 매수하시면 늦습니다,,,0,,,,,,,,0.9047619047619048,,,,,1,0.806547619047619
023530,롯데쇼핑,유통/백화점,,,,,,,3.8733,3.1733,1.0,1.0,0.0,0.8,0.0,0.0,0.9176,백화점에서 확산되는 온기(溫氣),,,0,,,,,,,,0.8928571428571429,,,,,1,0.7964285714285714
047050,포스코인터내셔널,무역회사와판매업체,,,,,,,3.8502,1.7502,3.0,3.0,0.0,0.7932,0.0,0.0,1.132,"단단한 펀더멘털, 축소될 밸류에이션 갭",,,0,,,,,,,,0.8809523809523809,,,,,1,0.7863095238095238
000150,두산,복합기업,,,,,,,3.7864,3.0864,1.0,1.0,0.0,0.8,0.0,0.0,1.4167,서버 구조의 변화는 중장기 성장의 근거,,,0,,,,,,,,0.8690476190476191,,,,,1,0.7761904761904762
010950,S-Oil,화학/석유화학,,,,,,,3.7532,2.3532,2.0,2.0,0.0,0.8,0.0,0.0,1.1523,"호르무즈 봉쇄, 오히려 전화위복!",,,0,,,,,,,,0.8571428571428571,,,,,1,0.7660714285714285
271560,오리온,음식료/담배,,,,,,,3.619,1.319,4.0,3.0,0.0,0.7802,0.0,0.0,0.7655,"춘절 끝, 이제는 앞만 보고 달린다",,,0,,,,,,,,0.8452380952380952,,,,,1,0.7559523809523809
010060,OCI홀딩스,화학,,,,,,,3.5099,2.8099,1.0,1.0,0.0,0.8,0.0,0.0,1.0318,태양광 중심으로 재편되는 에너지 안보 패러..,,,0,,,,,,,,0.8214285714285714,,,,,1,0.7357142857142857
034730,SK,석유와가스,,,,,,,3.4354,2.7354,1.0,1.0,0.0,0.8,0.0,0.0,1.4167,자사주 소각에 따른 재무적 효과 결국 주가에..,,,0,,,,,,,,0.8095238095238095,,,,,1,0.7255952380952381
039030,이오테크닉스,IT하드웨어 (반도체),,,,,,,3.253,2.353,2.0,1.0,0.0,0.7866,0.0,0.0,0.8429,이오테크닉스(039030) NAND 고단화 수혜 예상,,,0,,,,,,,,0.7976190476190477,,,,,1,0.7154761904761905
352820,하이브,엔터테인먼트/게임,,,,,,,3.1226,1.3226,4.0,2.0,0.0,0.7834,0.0,0.0,1.2173,하이브(352820) 확신의 실적 모멘텀이 시작된다,,,0,,,,,,,,0.7857142857142857,,,,,1,0.7053571428571428
036570,엔씨소프트,엔터테인먼트/게임,,,,,,,2.9737,1.3737,3.0,2.0,0.0,0.7881,0.0,0.0,1.1623,엔씨소프트(036570) 실적은 센티를 이긴다,,,0,,,,,,,,0.7738095238095238,,,,,1,0.6952380952380952
122870,와이지엔터테인먼트,엔터테인먼트/게임,,,,,,,2.9651,1.1651,4.0,2.0,0.0,0.777,0.0,0.0,1.2173,와이지엔터테인먼트(122870) 모멘텀 플레이 가능 구간,,,0,,,,,,,,0.7619047619047619,,,,,1,0.6851190476190475
256150,한독크린텍,가정용기기와용품,,,,,,,2.8304,2.1304,1.0,1.0,0.0,0.8,0.0,0.0,0.3063,국내 정수기용 카본블록 필터 1위 업체,,,0,,,,,,,,0.75,,,,,1,0.6749999999999999
001040,CJ,철강/비철금속,,,,,,,2.7306,1.1306,3.0,2.0,0.0,0.7884,0.0,0.0,1.2389,푸드빌 호실적. 올리브영 가치도 multiple에 ..,,,0,,,,,,,,0.7380952380952381,,,,,1,0.6648809523809524
005440,현대지에프홀딩스,복합기업,,,,,,,2.7305,2.0305,1.0,1.0,0.0,0.8,0.0,0.0,1.02,조정이 주는 멋진 기회!,,,0,,,,,,,,0.7261904761904762,,,,,1,0.6547619047619047
006400,삼성SDI,2차전지/배터리,,,,,,,2.7202,2.0202,1.0,1.0,0.0,0.8,0.0,0.0,1.0318,26년 영업 흑자 전환 예상,,,0,,,,,,,,0.7142857142857143,,,,,1,0.6446428571428571
035900,JYP Ent.,엔터테인먼트/게임,,,,,,,2.708,0.908,4.0,2.0,0.0,0.7875,0.0,0.0,1.2173,JYP Ent.(035900) 육각형 포트폴리오를 향해,,,0,,,,,,,,0.7023809523809523,,,,,1,0.6345238095238095
229640,LS에코에너지,전기장비,,,,,,,2.6823,1.7823,2.0,1.0,0.0,0.786,0.0,0.0,0.8429,LS에코에너지(229640) 희토류 탈중국화 밸류체인 한 축을 담당하면서 성장성 부각,,,0,,,,,,,,0.6904761904761905,,,,,1,0.6244047619047619
064760,티씨케이,반도체와반도체장비,,,,,,,2.6738,1.9738,1.0,1.0,0.0,0.8,0.0,0.0,1.2846,1Q26 예상 영업이익 QoQ +53.0%,,,0,,,,,,,,0.6785714285714286,,,,,1,0.6142857142857143
043370,피에이치에이,자동차부품/타이어,,,,,,,2.6457,1.9457,1.0,1.0,0.0,0.8,1.6908,0.0,1.4167,자기주식 7.0% 보유 중,,,0,,,,,,,,0.6666666666666666,,,,,1,0.6041666666666666
327260,RF머트리얼즈,우주항공과국방,,,,,,,2.558,1.858,1.0,1.0,0.0,0.8,7.4128,0.0,1.4167,광모듈 수요가 끝이 없다,,,0,,,,,,,,0.6547619047619048,,,,,1,0.594047619047619
023160,태광,조선/해양,,,,,,,2.5308,1.8308,1.0,1.0,0.0,0.8,0.0,0.0,0.9476,앞으로 좋아질 실적과 주주환원까지,,,0,,,,,,,,0.6309523809523809,,,,,1,0.5738095238095238
178320,서진시스템,통신장비/네트워크,,,,,,,2.4233,1.5233,2.0,1.0,0.0,0.7938,0.0,0.0,0.5429,서진시스템(178320) 수직계열화의 신이 보여줄 Showtime,,,0,,,,,,,,0.6190476190476191,,,,,1,0.5636904761904762
017670,SK텔레콤,통신서비스,,,,,,,2.3825,1.6825,1.0,1.0,0.0,0.8,5.0667,0.0,1.4167,이번엔 기대가 되는 4월입니다,,,0,,,,,,,,0.6071428571428571,,,,,1,0.5535714285714285
226330,신테카바이오,건강관리업체및서비스,,,,,,,2.3361,1.4361,2.0,1.0,0.0,0.7915,0.0,0.0,0.5429,신테카바이오(226330) AI 신약개발플랫폼 사업의 본격적인 실적 성장 기대,,,0,,,,,,,,0.5952380952380952,,,,,1,0.5434523809523809
005680,삼영전자,전기제품,,,,,,,2.2309,1.5309,1.0,1.0,0.0,0.8,0.0,0.0,0.7895,"삼영전자(005680) 순현금이 많은 기업, 신사업 추진",,,0,,,,,,,,0.5535714285714286,,,,,1,0.5080357142857143
023910,대한약품,제약,,,,,,,2.2309,1.5309,1.0,1.0,0.0,0.8,0.0,0.0,0.7895,대한약품(023910) 안정적인 수액제 생산 & Valuation 저평가,,,0,,,,,,,,0.5535714285714286,,,,,1,0.5080357142857143
036800,나이스정보통신,상업서비스와공급품,,,,,,,2.2309,1.5309,1.0,1.0,0.0,0.8,0.0,0.0,0.7895,"나이스정보통신(036800) Valuation 저평가, TRS 성장성",,,0,,,,,,,,0.5535714285714286,,,,,1,0.5080357142857143
086450,동국제약,제약,,,,,,,2.2309,1.5309,1.0,1.0,0.0,0.8,0.0,0.0,0.7895,"동국제약(086450) 성장성: 화장품, 모멘텀: DDS",,,0,,,,,,,,0.5535714285714286,,,,,1,0.5080357142857143
215200,메가스터디교육,교육서비스,,,,,,,2.2309,1.5309,1.0,1.0,0.0,0.8,0.0,0.0,0.7895,메가스터디교육(215200) 국내 교육기업 대장,,,0,,,,,,,,0.5535714285714286,,,,,1,0.5080357142857143
267250,HD현대,기계/공작기계,,,,,,,2.2309,1.5309,1.0,1.0,0.0,0.8,0.0,0.0,0.7895,HD현대(267250) HD현대오일뱅크와 로봇,,,0,,,,,,,,0.5535714285714286,,,,,1,0.5080357142857143
120110,코오롱인더,화학/석유화학,,,,,,,2.184,1.484,1.0,1.0,0.0,0.8,0.0,0.0,0.8429,"코오롱인더(120110) 실적은 반등, 포트폴리오는 진화",,,0,,,,,,,,0.5119047619047619,,,,,1,0.47261904761904755
306200,세아제강,철강/비철금속,,,,,,,2.0547,1.1547,2.0,1.0,0.0,0.7761,0.0,0.0,0.5984,"세아제강(306200) 하방은 프로젝트, 상방은 유가",,,0,,,,,,,,0.5,,,,,1,0.46249999999999997
004000,롯데정밀화학,화학,,,,,,,2.0286,1.3286,1.0,1.0,0.0,0.8,0.0,0.0,1.02,롯데정밀화학(004000) 암모니아 가격 상승으로 인한 반사수혜 전망,,,0,,,,,,,,0.48214285714285715,,,,,1,0.44732142857142854
014830,유니드,화학,,,,,,,2.0286,1.3286,1.0,1.0,0.0,0.8,0.0,0.0,1.02,유니드(014830) 중국 경질 탄산칼륨 재편의 수혜주,,,0,,,,,,,,0.48214285714285715,,,,,1,0.44732142857142854
042500,링네트,IT서비스,,,,,,,1.9529,1.2529,1.0,1.0,0.0,0.8,0.0,0.0,0.3063,네트워크 통합(NI)의 수익 방정식,,,0,,,,,,,,0.4583333333333333,,,,,1,0.42708333333333326
376930,노을,건강관리장비와용품,,,,,,,1.9529,1.2529,1.0,1.0,0.0,0.8,0.0,0.0,0.3063,스케일업 단계로 진입,,,0,,,,,,,,0.4583333333333333,,,,,1,0.42708333333333326
039200,오스코텍,제약,,,,,,,1.8932,0.9932,2.0,1.0,0.0,0.789,0.0,0.0,0.5429,오스코텍(039200) NDR 후기: 열매가 주렁주렁,,,0,,,,,,,,0.44047619047619047,,,,,1,0.4119047619047619
041510,에스엠,엔터테인먼트/게임,,,,,,,1.8509,0.0509,4.0,2.0,0.0,0.7841,0.0,0.0,1.2173,에스엠(041510) P/E 밴드 하단에서 여전히 매력적인 투자처,,,0,,,,,,,,0.42857142857142855,,,,,1,0.40178571428571425
138930,BNK금융지주,금융지주/은행,,,,,,,1.7683,1.0683,1.0,1.0,0.0,0.8,0.0,0.0,1.4167,"1분기 NIM 상승과 대손비용 안정화, CET 1 비..",,,0,,,,,,,,0.39285714285714285,,,,,1,0.3714285714285714
053030,바이넥스,제약,,,,,,,1.7327,0.8327,2.0,1.0,0.0,0.778,0.0,0.0,1.02,바이넥스(053030) 상업화 생산 확대를 위한 준비,,,0,,,,,,,,0.38095238095238093,,,,,1,0.36130952380952375
011210,현대위아,자동차부품/타이어,,,,,,,1.7166,0.8166,2.0,1.0,0.0,0.7875,0.0,0.0,0.5429,현대위아(011210) Corp. Day 후기: 열관리 매출 증가와 인도 증설,,,0,,,,,,,,0.36904761904761907,,,,,1,0.35119047619047616
353200,대덕전자,전자장비와기기,,,,,,,1.71,0.11,3.0,2.0,0.0,0.7883,0.0,0.0,1.0341,"서버 FCBGA 공급 가시화, 멀티플 리레이팅 근..",,,0,,,,,,,,0.35714285714285715,,,,,1,0.3410714285714285
097230,HJ중공업,건설,,,,,,,1.3936,0.4936,2.0,1.0,0.0,0.7975,0.0,0.0,1.02,HJ중공업(097230) 신호탄,,,0,,,,,,,,0.34523809523809523,,,,,1,0.33095238095238094
053580,웹케시,소프트웨어,,,,,,,1.2353,0.3353,2.0,1.0,0.0,0.7893,0.0,0.0,0.5429,웹케시(053580) 콥데이 後記: 금융 AI Agent 기업으로 도약 중,,,0,,,,,,,,0.3333333333333333,,,,,1,0.3208333333333333
298050,HS효성첨단소재,화학/석유화학,,,,,,,1.2146,0.5146,1.0,1.0,0.0,0.8,0.0,0.0,0.9476,든든한 본업과 탄소섬유 기대감 부각,,,0,,,,,,,,0.32142857142857145,,,,,1,0.3107142857142857
089980,상아프론테크,전자장비와기기,,,,,,,1.1934,0.2934,2.0,1.0,0.0,0.7919,0.0,0.0,0.5429,상아프론테크(089980) 글로벌 위성 사업자용 소재사업 호조로 이익 증가,,,0,,,,,,,,0.30952380952380953,,,,,1,0.3005952380952381
214180,헥토이노베이션,IT서비스,,,,,,,1.0944,0.3944,1.0,1.0,0.0,0.8,0.0,0.0,1.2846,실적과 모멘텀 모두 매력적이다!,,,0,,,,,,,,0.2976190476190476,,,,,1,0.29047619047619044
025540,한국단자,자동차부품,,,,,,,0.8908,0.1908,1.0,1.0,0.0,0.8,0.0,0.0,1.4167,실적 회복과 배당은 기본. 더 큰 미래도 가능..,,,0,,,,,,,,0.27380952380952384,,,,,1,0.2702380952380952
089970,브이엠,반도체와반도체장비,,,,,,,0.8908,0.1908,1.0,1.0,0.0,0.8,0.0,0.0,1.4167,예상보다 좋습니다,,,0,,,,,,,,0.27380952380952384,,,,,1,0.2702380952380952
316140,우리금융지주,금융지주/은행,,,,,,,0.8908,0.1908,1.0,1.0,0.0,0.8,0.0,0.0,1.4167,동양생명 완전자회사화는 ABL생명 통합을 위..,,,0,,,,,,,,0.27380952380952384,,,,,1,0.2702380952380952
347700,스피어,우주항공과국방,,,,,,,0.8134,-0.0866,2.0,1.0,0.0,0.7726,0.0,0.0,0.8429,스피어(347700) 스페이스X 발사체 성장은 곧 나의 성장,,,0,,,,,,,,0.25,,,,,1,0.25
