symbol,name,sector,composite_score,value_score,momentum_score,quality_score,flow_score,news_score,analyst_conviction_score,analyst_avg_score,analyst_report_count,analyst_broker_diversity,analyst_target_revision_pct,analyst_novelty_score,analyst_fwd_ret_5d,analyst_fwd_ret_20d,analyst_alpha_ret_5d,analyst_alpha_ret_20d,analyst_bias_adjustment,analyst_parse_quality_score,analyst_pdf_coverage,analyst_target_upside_pct,analyst_target_dispersion_pct,analyst_agreement_score,analyst_recency_score,analyst_latest_title,analyst_revision_breadth_score,analyst_revision_breadth_count,analyst_positive_revision_ratio,analyst_peer_spillover_score,analyst_peer_alpha_5d,analyst_peer_support_count,event_alpha_score,event_expected_alpha_5d,event_recent_count,event_recent_positive_count,event_recent_negative_count,event_last_type,event_last_bias,event_last_days_ago,macro_sector_score,macro_regime_score,macro_micro_interaction_score,ml_pred_return_5d,ml_pred_score,ml_sector_score,ml_model_type,ml_train_rows,flow_top_brokers,flow_event_mix,micro_ofi,micro_foreign_pressure,micro_broker_concentration,micro_queue_imbalance,micro_absorption_score,microstructure_score,flow_intraday_samples,flow_intraday_avg_5m,flow_intraday_avg_15m,flow_intraday_avg_30m,flow_intraday_avg_60m,flow_intraday_last_event,flow_intraday_last_captured_at,factor_rank_score,analyst_rank_score,flow_state_score,flow_rank_score,flow_intraday_edge_score,flow_intraday_rank_score,micro_rank_score,macro_rank_score,ml_rank_score,event_rank_score,active_source_count,card_score
005930,삼성전자,IT하드웨어 (반도체),0.5792666666666667,0.5,0.68,0.6,0.5,0.6166666666666667,9.5252,0.8118,3.0,3.0,0.0,0.7945,8.6649,0.0,3.4968,0.0,-0.0114,0.7505,0.3333,33.9492,4.8766,0.7512,0.7444,진정한 풀스택,0.6649,2.0,1.0,0.0503,0.0,1.0,,,0.0,0.0,0.0,,,,7.0,3.8,0.8492424242424244,0.043487757947811234,0.8636363636363636,0.8333333333333334,ridge_fewshot,8,,,,,,,,,0,,,,,,,0.8,0.6904761904761905,,,,,,0.9924242424242424,0.8636363636363636,,4,0.7619597199675323
000660,SK하이닉스,IT하드웨어 (반도체),0.5939333333333334,0.5,0.8800000000000001,0.3999999999999999,0.5,0.4833333333333334,7.5975,0.8675,2.0,2.0,0.0,0.7979,0.0,0.0,0.0,0.0,0.0,0.6522,0.0,40.9048,3.01,0.6699,0.6742,HBM 전선 이상 무,0.5,1.0,1.0,0.2701,3.4968,1.0,,,0.0,0.0,0.0,,,,7.0,3.8,0.8458333333333334,0.03157998669999842,0.696969696969697,0.8333333333333334,ridge_fewshot,8,,,,,,,,,0,,,,,,,1.0,0.42857142857142855,,,,,,0.9848484848484849,0.696969696969697,,4,0.7382863230519479
005380,현대차,자동차/완성차,0.5331999999999999,0.5,0.36,0.4666666666666666,0.5,0.7000000000000001,6.9089,1.9298,2.0,1.0,0.0,0.7725,0.0,0.0,0.0,0.0,-0.0095,0.7945,0.5,-2.0772,0.0,1.0,0.6742,현대차(005380) 팰리세이드 리콜 관련 업데이트,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,3.8,0.6458333333333334,0.021660520952982033,0.5681818181818182,0.4753787878787879,ridge_fewshot,8,,,,,,,,,0,,,,,,,0.4,0.36904761904761907,,,,,,0.8181818181818182,0.5681818181818182,,4,0.4843902191558442
373220,LG에너지솔루션,2차전지/배터리,0.4594666666666667,0.5,0.24,0.6666666666666666,0.5,0.6666666666666666,8.14,1.6047,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0132,0.5873,0.0,21.7799,0.0,1.0,0.7822,26년 ESS 추정치 추가 상향 조정,1.0,1.0,1.0,0.2784,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,3.8,0.6321969696969697,0.03761180590154235,0.7651515151515151,0.6603535353535354,ridge_fewshot,8,,,,,,,,,0,,,,,,,0.2,0.5119047619047619,,,,,,0.7878787878787878,0.7651515151515151,,4,0.4799056412337662
019180,티에이치엔,자동차부품,,,,,,,5.213,0.1516,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2185,0.5785,0.0,0.0,0.0,1.0,0.7444,P/E가 3배도 안 되네요,1.0,1.0,1.0,-0.0109,0.0,1.0,0.0,0.0,2.0,0.0,0.0,LARGE_HOLDER,neutral,3.96,0.0,3.8,0.48901515151515157,0.011388332451074611,0.13636363636363635,0.2544191919191919,ridge_fewshot,8,,,,,,,,,0,,,,,,,,0.17857142857142858,,,,,,0.48484848484848486,0.13636363636363635,0.5416666666666666,4,0.3288022351797862
036800,나이스정보통신,상업서비스와공급품,,,,,,,12.6818,6.0061,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0739,1.0,1.0,32.0755,0.0,1.0,0.8219,"나이스정보통신(036800) Valuation 저평가, TRS 성장성",1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,3.8,0.7208333333333334,0.049979202364789616,0.9242424242424242,0.9242424242424242,ridge_fewshot,8,,,,,,,,,0,,,,,,,,1.0,,,,,,0.9772727272727273,0.9242424242424242,,3,0.8819784382284381
083500,에프엔에스테크,디스플레이장비및부품,,,,,,,12.4878,5.3707,2.0,1.0,0.0,0.7725,0.0,0.0,0.0,0.0,0.0274,0.7957,0.5,80.072,0.0,1.0,0.7085,에프엔에스테크(083500) 수익성 개선 흐름 본격화될 전망,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,3.8,0.7174242424242425,0.05016931569149722,0.9318181818181818,0.6571969696969697,ridge_fewshot,8,,,,,,,,,0,,,,,,,,0.9880952380952381,,,,,,0.9696969696969697,0.9318181818181818,,3,0.8778034465534464
393890,더블유씨피,전기제품,,,,,,,12.0447,4.4294,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0134,0.589,0.0,120.2202,0.0,1.0,0.7822,"실적, 밸류에이션 정상화 초입 구간",1.0,1.0,1.0,0.3526,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,3.8,0.7071969696969698,0.060454816893795615,0.9924242424242424,0.9116161616161617,ridge_fewshot,8,,,,,,,,,0,,,,,,,,0.9523809523809523,,,,,,0.946969696969697,0.9924242424242424,,3,0.8751852314352313
036570,엔씨소프트,엔터테인먼트/게임,,,,,,,12.2059,3.7815,3.0,2.0,0.0,0.784,0.0,0.0,0.0,0.0,-0.0486,0.7493,0.3333,65.9452,8.6083,0.9139,0.8219,엔씨소프트(036570) 실적은 센티를 이긴다,1.0,2.0,1.0,0.238,0.0,4.0,,,0.0,0.0,0.0,,,,0.0,3.8,0.6696969696969697,0.05750311405524102,0.9848484848484849,0.8712121212121213,ridge_fewshot,8,,,,,,,,,0,,,,,,,,0.9761904761904762,,,,,,0.8712121212121212,0.9848484848484849,,3,0.8676843989343987
023910,대한약품,제약,,,,,,,11.7076,4.371,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0739,1.0,1.0,32.67,0.0,1.0,0.8219,대한약품(023910) 안정적인 수액제 생산 & Valuation 저평가,1.0,1.0,1.0,0.2593,0.0,4.0,,,0.0,0.0,0.0,,,,0.0,3.8,0.7037878787878789,0.055098826302199685,0.9696969696969697,0.7342171717171717,ridge_fewshot,8,,,,,,,,,0,,,,,,,,0.9404761904761905,,,,,,0.9393939393939394,0.9696969696969697,,3,0.8630848318348319
