snapshot_date,snapshot_time,symbol,name,market,sector,industry,marcap,close,volume,ret_1d,ret_5d,ret_20d,ret_60d,ret_120d,ma_gap_20d,ma_gap_60d,ma_gap_120d,drawdown_60d,drawdown_250d,volatility_20d,volatility_60d,avg_turnover_20d,avg_range_20d,volume_ratio_20d,foreign_1d_eok,inst_1d_eok,retail_1d_eok,foreign_3d_eok,inst_3d_eok,retail_3d_eok,foreign_5d_eok,inst_5d_eok,retail_5d_eok,foreign_streak,inst_streak,smart_money_3d_eok,smart_money_5d_eok,foreign_3d_to_mcap,inst_3d_to_mcap,smart_money_3d_to_mcap,smart_money_5d_to_mcap,cons_revenue_q_krw,cons_op_q_krw,cons_net_q_krw,cons_revenue_y_krw,cons_op_y_krw,cons_net_y_krw,cons_op_margin_q,cons_net_margin_q,cons_psr,cons_op_yield,cons_net_yield,has_price_factors,has_flow_factors,has_consensus_factors,available_factor_sources,expected_factor_sources,factor_source_coverage_ratio,missing_factor_sources,news_score,news_count,news_avg_score,news_max_score,news_confidence_score,news_buzz_score,news_source_breadth_score,news_diffusion_score,news_novelty_score,has_news_factors,size_score,liquidity_score,momentum_ret20_score,momentum_ret60_score,momentum_ret120_score,momentum_ma20_score,momentum_drawdown_score,stability_score,value_op_yield_score,value_net_yield_score,value_psr_score,quality_op_margin_score,quality_net_margin_score,flow_3d_score,flow_5d_score,flow_foreign_streak_score,flow_inst_streak_score,news_sentiment_factor_score,news_confidence_factor_score,news_buzz_factor_score,news_source_factor_score,news_diffusion_factor_score,news_novelty_factor_score,value_score,momentum_score,quality_score,flow_score,composite_score,ranking_eligible,portfolio_eligible,sector_z_value_score,sector_rank_value_score,sector_z_momentum_score,sector_rank_momentum_score,sector_z_quality_score,sector_rank_quality_score,sector_z_flow_score,sector_rank_flow_score,sector_z_news_score,sector_rank_news_score,sector_z_composite_score,sector_rank_composite_score,sector_reversion_signal,sector_reversion_rank,sector_leader_signal,sector_leader_rank
20260323,23:04:30,012630,HDC,KOSPI,건설/건자재,건설/건자재,1472633422650.0,27850.0,325437.0,-0.007130124777183555,0.12981744421906694,0.1978494623655913,0.5787981859410432,0.4158617183528215,0.12072434607645866,0.3503357657155326,0.44883555586383905,-0.007130124777183555,-0.007130124777183555,0.7375213306412916,0.5964237261010468,0.0037815727725225958,0.06865063237554804,1.4658654120093157,-17,18,-4,11,21,-37,13,19,-39,0,2,32,32,0.0007469611806178846,0.0014260167993614158,0.0021729779799793004,0.0021729779799793004,1792000000000.0,170000000000.0,77000000000.0,7168000000000.0,680000000000.0,308000000000.0,0.09486607142857142,0.04296875,0.20544551097237723,0.4617578207456013,0.20914913057300763,True,True,True,3,4,0.75,,0.5,,,,,,,,,False,0.14,0.25,0.9033333333333333,0.8260869565217391,0.6195286195286195,0.9433333333333334,0.99,0.6766666666666666,0.9900990099009901,0.9836956521739131,0.9405940594059405,0.6435643564356436,0.45652173913043476,0.8866666666666667,0.8033333333333333,0.3416666666666667,0.83,,,,,,,0.9714629071602813,0.8564564485434051,0.5922509207442483,0.7154166666666667,0.7125224239887757,True,True,1.4205082840520065,1.0,0.5856619938750842,0.5,0.954871419079555,0.875,2.132622591266286,1.0,-0.37796447300922686,0.5,1.903063231796455,1.0,3.9223403005227633,1.0,3.6731560042209255,1.0
20260323,23:04:30,322000,HD현대에너지솔루션,KOSPI,에너지장비및서비스,에너지장비및서비스,1164800000000.0,135300.0,1833935.0,0.03282442748091596,0.13316582914572872,0.5677867902665121,1.3327586206896553,1.642578125,0.25098238638990344,0.7370279233978816,1.0504271723275682,-0.007336757153338258,-0.007336757153338258,2.0246918629191857,1.453643719020612,0.24507136705013735,0.14246326755646782,0.7404478140006686,34,45,-78,-5,182,-141,46,160,-157,2,4,177,206,-0.0004292582417582418,0.015625,0.01519574175824176,0.017685439560439564,141500000000.0,13300000000.0,11200000000.0,566000000000.0,53200000000.0,44800000000.0,0.0939929328621908,0.07915194346289753,2.0579505300353356,0.04567307692307692,0.038461538461538464,True,True,True,3,4,0.75,,0.5,,,,,,,,,False,0.0033333333333333335,0.9966666666666667,0.99,0.9431438127090301,0.9191919191919192,0.9833333333333333,0.9866666666666667,0.01,0.42574257425742573,0.5271739130434783,0.4158415841584158,0.6386138613861386,0.6902173913043478,0.99,0.98,0.8416666666666667,0.935,,,,,,,0.4562526904864399,0.9644671463801899,0.44627708423016216,0.9366666666666666,0.7111549059387545,True,True,0.22468584158047641,0.5,1.272698292407286,1.0,0.847525481496944,0.75,0.6906843714433526,0.75,0.0,0.625,1.2423415995272502,1.0,0.49019740211348695,0.75,2.8109081453475824,1.0
20260323,23:04:30,007810,코리아써키트,KOSPI,전자장비와기기,전자장비와기기,1391262233900.0,60800.0,525820.0,-0.05882352941176472,0.1558935361216729,0.011647254575707144,0.7030812324929971,2.4545454545454546,0.09254267744833777,0.10964091800885156,0.509252861912465,-0.14002828854313998,-0.14002828854313998,1.1836209581615298,0.9902699380385108,0.014290908130428768,0.0798757500965407,1.507990929455495,13,34,-42,-81,162,-82,-127,263,-143,1,4,81,136,-0.0058220512299065295,0.011644102459813059,0.0058220512299065295,0.009775295892188741,423600000000.0,37600000000.0,24100000000.0,1694400000000.0,150400000000.0,96400000000.0,0.08876298394711993,0.056893295561850805,0.821094330677526,0.108103272219499,0.06928959735345548,True,True,True,3,4,0.75,,0.5,,,,,,,,,False,0.12333333333333334,0.7566666666666667,0.7666666666666667,0.862876254180602,0.9696969696969697,0.93,0.7633333333333333,0.18,0.7623762376237624,0.717391304347826,0.5891089108910891,0.599009900990099,0.5760869565217391,0.96,0.9566666666666667,0.7416666666666667,0.935,,,,,,,0.6896254842875592,0.8585146447755143,0.45169895250394604,0.8983333333333333,0.7092633065112531,True,True,1.963293632741728,1.0,0.9798473065039568,0.8333333333333334,0.09238287239810361,0.5,1.1519636142668648,1.0,0.0,0.5833333333333334,1.2457380550786943,1.0,2.22779281290274,1.0,2.2241937931689253,0.8333333333333334
20260323,23:04:30,011070,LG이노텍,KOSPI,디스플레이/IT부품,디스플레이/IT부품,7549807133000.0,290000.0,269547.0,-0.020270270270270285,0.1417322834645669,0.1328125,0.03202846975088969,0.6411997736276174,0.057043921997448566,0.0833696531971857,0.1554897383878262,-0.1594202898550725,-0.1594202898550725,1.1297969389949236,0.7460218248803023,0.010672531414452492,0.06879253892806911,0.9691581012703284,42,122,-174,236,226,-452,268,212,-465,4,4,462,480,0.003125907666812447,0.0029934539521170042,0.006119361618929451,0.006357778305381248,7643700000000.0,377600000000.0,254200000000.0,30574800000000.0,1510400000000.0,1016800000000.0,0.04940015960856653,0.03325614558394495,0.2469290766579013,0.2000580906759966,0.13467893710232612,True,True,True,3,4,0.75,,0.5,,,,,,,,,False,0.72,0.6666666666666666,0.8733333333333333,0.3277591973244147,0.7508417508417509,0.89,0.69,0.23,0.900990099009901,0.9456521739130435,0.905940594059406,0.3564356435643564,0.391304347826087,0.9633333333333334,0.9266666666666666,0.9516666666666667,0.935,,,,,,,0.9175276223274501,0.7063868562998998,0.32591333046348114,0.9441666666666667,0.7025422514481103,True,True,0.7253296370628414,1.0,0.4267735321678585,0.6666666666666666,-1.066079858543399,0.3333333333333333,1.4105309432334738,1.0,0.0,0.6666666666666666,1.3742785007226161,1.0,0.6430071895850578,0.6666666666666666,0.7712246168579333,0.6666666666666666
20260323,23:04:30,023530,롯데쇼핑,KOSPI,유통/백화점,유통/백화점,3046698913500.0,100600.0,188637.0,-0.11365638766519826,-0.018536585365853675,-0.08295350957155878,0.32542819499341236,0.3856749311294765,-0.01915858236240431,0.12702354500812207,0.26026996836797545,-0.12673611111111116,-0.12673611111111116,0.7597803281466087,0.6289609446345572,0.004771319208992786,0.06011371084480438,1.3414787649153348,32,1,-34,59,53,-121,-9,123,-130,3,5,112,114,0.0019365221728530346,0.0017395877145967938,0.0036761098874498284,0.0037417547068685753,3585400000000.0,236200000000.0,117600000000.0,14341600000000.0,944800000000.0,470400000000.0,0.06587828415239583,0.03279968762202265,0.21243786700925976,0.31010612693416056,0.1543966152728928,True,True,True,3,4,0.75,,0.5,,,,,,,,,False,0.4866666666666667,0.3333333333333333,0.61,0.6521739130434783,0.5959595959595959,0.7333333333333333,0.8066666666666666,0.6433333333333333,0.9554455445544554,0.9565217391304348,0.9356435643564357,0.4603960396039604,0.3858695652173913,0.93,0.88,0.9116666666666666,0.9716666666666667,,,,,,,0.9492036160137753,0.6796267018006149,0.496532979384895,0.9233333333333333,0.6972519395417803,True,True,1.0257931043157593,1.0,1.3061624386143456,1.0,0.1081098658496679,0.7142857142857143,1.7581412267730603,1.0,0.0,0.5714285714285714,1.5422154136260844,1.0,1.585881758324142,0.8571428571428571,3.1724135312370736,1.0
20260323,23:04:30,439260,대한조선,KOSPI,조선,조선,3833368044000.0,91200.0,0.0,0.0,-0.0607621009268795,0.11901840490797544,0.2442019099590722,0.13432835820895517,-0.06129380886212754,0.14445862004057486,0.19723009265843294,-0.14526710402999066,-0.1609935602575897,0.7257795289407617,0.5456207021144902,0.013054066765993001,0.06318932120864096,0.0,52,8,-62,125,5,-132,131,-26,-105,4,1,130,105,0.003260840038452619,0.00013043360153810476,0.0033912736399907234,0.0027391056323002,324800000000.0,78300000000.0,71700000000.0,1299200000000.0,313200000000.0,286800000000.0,0.24107142857142858,0.22075123152709358,2.9505603786945813,0.08170360800346882,0.07481671384225688,True,True,True,3,4,0.75,,0.5,,,,,,,,,False,0.5533333333333333,0.7266666666666667,0.8666666666666667,0.5953177257525084,0.3838383838383838,0.49333333333333335,0.6766666666666666,0.72,0.6485148514851485,0.7554347826086957,0.297029702970297,0.9306930693069307,0.9510869565217391,0.92,0.8366666666666667,0.9516666666666667,0.7516666666666667,,,,,,,0.5669931123547137,0.6031645552515118,0.8672600086095565,0.865,0.6919081550897566,True,True,1.2451824933854763,1.0,0.5904190132695529,0.8,0.8808199334142579,1.0,1.2920685223442112,1.0,0.0,0.6,1.1858767034078863,1.0,2.827651935874392,1.0,2.763307469028022,1.0
20260323,23:04:30,017960,한국카본,KOSPI,조선,조선,2174964138800.0,46650.0,568660.0,-0.06325301204819278,0.017448200654307522,0.219607843137255,0.44204018547140644,0.4179331306990881,0.06040802409501622,0.24618775183099229,0.342687533729088,-0.06325301204819278,-0.06325301204819278,0.8361275600431111,0.8144151784705558,0.018775751805053163,0.08089749176005166,0.6090201619987634,96,-69,-30,180,-133,-54,360,-197,-168,5,0,47,163,0.008275998522868151,-0.006115043353008134,0.002160955169860017,0.007494376440152826,218400000000.0,34000000000.0,20800000000.0,873600000000.0,136000000000.0,83200000000.0,0.15567765567765568,0.09523809523809523,2.489656752289377,0.06252976661722603,0.038253504283479456,True,True,True,3,4,0.75,,0.5,,,,,,,,,False,0.34,0.83,0.9166666666666666,0.7591973244147158,0.622895622895623,0.9,0.9266666666666666,0.5733333333333334,0.5445544554455446,0.5217391304347826,0.36633663366336633,0.8217821782178217,0.7391304347826086,0.8833333333333333,0.94,0.9816666666666667,0.35833333333333334,,,,,,,0.4775434065145645,0.8250852561287344,0.7114153154445879,0.7908333333333333,0.6899830625615515,True,True,0.3671105060391291,0.6,1.5353172623325049,1.0,-0.22335578193176553,0.4,0.9293111138627133,0.8,0.0,0.6,1.1704523282413453,0.8,-0.46225142436242805,0.6,2.241272594263453,0.8
20260323,23:04:30,001120,LX인터내셔널,KOSPI,무역회사와판매업체,무역회사와판매업체,1651176000000.0,47200.0,292380.0,0.0010604453870626251,0.03850385038503856,-0.010482180293501009,0.4303030303030304,0.4796238244514106,0.07768708259603851,0.20444009696763477,0.34022692048318226,-0.02579979360165119,-0.02579979360165119,0.6901537532574902,0.5037059931909009,0.006907651316395103,0.06049233520956858,1.1227002557735277,-27,55,-29,3,118,-126,-20,107,-94,0,3,121,87,0.00018168868733557176,0.0071464217018658216,0.007328110389201394,0.00526897193273158,4186900000000.0,63500000000.0,41400000000.0,16747600000000.0,254000000000.0,165600000000.0,0.015166352193747163,0.009887983949939096,0.09859179822780577,0.15382975527745074,0.1002921554092356,True,True,True,3,4,0.75,,0.5,,,,,,,,,False,0.18,0.5133333333333333,0.7433333333333333,0.7391304347826086,0.6632996632996633,0.9166666666666666,0.9733333333333334,0.7733333333333333,0.8613861386138614,0.8532608695652174,0.995049504950495,0.1188118811881188,0.20652173913043478,0.97,0.9166666666666666,0.3416666666666667,0.9,,,,,,,0.9032321710431912,0.807152686283121,0.3662223178839623,0.7820833333333334,0.6843130191642353,True,True,0.9999999999999996,1.0,-0.9999999999999951,0.5,1.0,1.0,1.0,1.0,0.0,0.75,1.0,1.0,3.9999999999999947,1.0,1.0000000000000049,1.0
20260323,23:04:30,051600,한전KPS,KOSPI,전력/유틸리티,전력/유틸리티,2790000000000.0,64500.0,543685.0,-0.0444444444444444,0.08585858585858586,0.027070063694267565,0.24038461538461542,0.3136456211812628,0.08403361344537807,0.14058355437665782,0.19647549853145763,-0.0444444444444444,-0.0444444444444444,0.7249131726912812,0.5308340875619467,0.007334382112903226,0.04945139473665948,1.6214758879704316,-106,35,69,-23,181,-167,-34,222,-200,0,5,158,188,-0.0008243727598566308,0.006487455197132616,0.005663082437275986,0.006738351254480287,449000000000.0,57800000000.0,47500000000.0,1796000000000.0,231200000000.0,190000000000.0,0.1287305122494432,0.10579064587973273,1.5534521158129175,0.0828673835125448,0.06810035842293907,True,True,True,3,4,0.75,,0.5,,,,,,,,,False,0.43666666666666665,0.53,0.8,0.5886287625418061,0.5555555555555556,0.9233333333333333,0.9533333333333334,0.7233333333333334,0.6534653465346535,0.6902173913043478,0.48514851485148514,0.7376237623762376,0.7554347826086957,0.9533333333333334,0.93,0.3416666666666667,0.9716666666666667,,,,,,,0.6096104175634954,0.7641701969528057,0.7387972927727556,0.7991666666666667,0.6820652478926824,True,True,-0.17193821212213709,0.5,0.9094540944824347,0.75,1.5151029193792596,1.0,1.47442697346731,1.0,0.0,0.625,1.7015347075325191,1.0,1.9081375862419978,1.0,3.8989839873290046,1.0
20260323,23:04:30,067310,하나마이크론,KOSDAQ,반도체와반도체장비,반도체와반도체장비,2404705401200.0,32650.0,1332462.0,-0.060431654676258995,0.018720748829953227,-0.0631276901004304,0.34086242299794667,0.6325000000000001,-0.028924083574986992,0.04759358288770055,0.16067223007260867,-0.13509933774834437,-0.13509933774834437,1.058939981277425,0.8736296205389144,0.028883082019252878,0.08001028106614043,0.6504838590702761,1,3,-4,-42,22,17,107,14,-123,2,2,-20,121,-0.0017465756919346999,0.0009148729814896046,-0.0008317027104450951,0.005031801398192826,422700000000.0,62400000000.0,27100000000.0,1690800000000.0,249600000000.0,108400000000.0,0.14762242725337119,0.06411166311805062,1.422229359593092,0.10379649826354788,0.04507828690612416,True,True,True,3,4,0.75,,0.5,,,,,,,,,False,0.37,0.9133333333333333,0.6566666666666666,0.6655518394648829,0.7407407407407407,0.69,0.7866666666666666,0.31,0.7425742574257426,0.5869565217391305,0.504950495049505,0.7970297029702971,0.6195652173913043,0.5166666666666667,0.9066666666666666,0.8416666666666667,0.83,,,,,,,0.6114937580714593,0.7079251827077913,0.5755316401205338,0.77375,0.6744761955264647,True,True,1.4200574920718987,1.0,0.6379665660311864,0.7333333333333333,0.568553910086468,0.7333333333333333,0.7309684008886276,0.7333333333333333,0.0,0.5333333333333333,1.5172280442032657,1.0,2.081613237015808,0.9333333333333333,1.937488877006282,0.8
